DT,T,RH,AH,PT08.S1(CO)
2004-03-10 18:00:00,13.6,48.9,0.7578,1360.0
2004-03-10 19:00:00,13.3,47.7,0.7255,1292.0
2004-03-10 20:00:00,11.9,54.0,0.7502,1402.0
2004-03-10 21:00:00,11.0,60.0,0.7867,1376.0
2004-03-10 22:00:00,11.2,59.6,0.7888,1272.0
2004-03-10 23:00:00,11.2,59.2,0.7848,1197.0
2004-03-11 00:00:00,11.3,56.8,0.7603,1185.0
2004-03-11 01:00:00,10.7,60.0,0.7702,1136.0
2004-03-11 02:00:00,10.7,59.7,0.7648,1094.0
2004-03-11 03:00:00,10.3,60.2,0.7517,1010.0
2004-03-11 04:00:00,10.1,60.5,0.7465,1011.0
2004-03-11 05:00:00,11.0,56.2,0.7366,1066.0
2004-03-11 06:00:00,10.5,58.1,0.7353,1052.0
2004-03-11 07:00:00,10.2,59.6,0.7417,1144.0
2004-03-11 08:00:00,10.8,57.4,0.7408,1333.0
2004-03-11 09:00:00,10.5,60.6,0.7691,1351.0
2004-03-11 10:00:00,10.8,58.4,0.7552,1233.0
2004-03-11 11:00:00,10.5,57.9,0.7352,1179.0
2004-03-11 12:00:00,9.5,66.8,0.7951,1236.0
2004-03-11 13:00:00,8.3,76.4,0.8393,1286.0
2004-03-11 14:00:00,8.0,81.1,0.8736,1371.0
2004-03-11 15:00:00,8.3,79.8,0.8778,1310.0
2004-03-11 16:00:00,9.7,71.2,0.8569,1292.0
2004-03-11 17:00:00,9.8,67.6,0.8185,1383.0
2004-03-11 18:00:00,10.3,64.2,0.8065,1581.0
2004-03-11 19:00:00,9.7,69.3,0.8319,1776.0
2004-03-11 20:00:00,9.6,67.8,0.8133,1640.0
2004-03-11 21:00:00,9.1,64.0,0.7419,1313.0
2004-03-11 22:00:00,8.2,63.4,0.6905,965.0
2004-03-11 23:00:00,8.2,60.8,0.6657,913.0
2004-03-12 00:00:00,8.3,58.5,0.6438,1080.0
2004-03-12 01:00:00,7.7,59.7,0.6308,1044.0
2004-03-12 02:00:00,7.1,61.8,0.6276,988.0
2004-03-12 03:00:00,7.0,62.3,0.6261,889.0
2004-03-12 04:00:00,6.1,65.9,0.6248,831.0
2004-03-12 05:00:00,6.3,65.0,0.6233,847.0
2004-03-12 06:00:00,6.8,62.9,0.6234,927.0
